,datatype,trial_start,trial_end
1,accel,48:46.9,49:51.2
2,accel,50:54.3,52:09.2
74,qualtrics,2026-02-26 11:52,2026-02-26 11:53
731,qualtrics,2026-02-26 11:52,2026-02-26 11:53
3,accel,54:17.5,55:25.3
751,qualtrics,2026-02-26 11:54,2026-02-26 11:54
76,qualtrics,2026-02-26 11:54,2026-02-26 11:55
781,qualtrics,2026-02-26 11:55,2026-02-26 11:56
771,qualtrics,2026-02-26 11:55,2026-02-26 11:56
4,accel,56:55.9,57:50.3
801,qualtrics,2026-02-26 11:58,2026-02-26 11:59
79,qualtrics,2026-02-26 11:58,2026-02-26 11:59
7,accel,02:09.2,03:13.1
81,qualtrics,2026-02-26 12:03,2026-02-26 12:04
821,qualtrics,2026-02-26 12:03,2026-02-26 12:04
8,accel,04:56.4,05:56.9
841,qualtrics,2026-02-26 12:06,2026-02-26 12:07
831,qualtrics,2026-02-26 12:06,2026-02-26 12:06
9,accel,07:19.3,08:25.9
851,qualtrics,2026-02-26 12:08,2026-02-26 12:09
86,qualtrics,2026-02-26 12:08,2026-02-26 12:09
10,accel,09:35.6,10:33.5
871,qualtrics,2026-02-26 12:10,2026-02-26 12:11
881,qualtrics,2026-02-26 12:10,2026-02-26 12:11
11,accel,11:25.2,12:16.9
891,qualtrics,2026-02-26 12:12,2026-02-26 12:12
901,qualtrics,2026-02-26 12:12,2026-02-26 12:12
14,accel,21:23.2,22:11.2
15,accel,33:50.1,34:33.1
16,accel,34:48.8,36:03.0
911,qualtrics,2026-03-03 11:36,2026-03-03 11:37
921,qualtrics,2026-03-03 11:36,2026-03-03 11:39
18,accel,39:47.1,40:45.0
931,qualtrics,2026-03-03 11:40,2026-03-03 11:41
941,qualtrics,2026-03-03 11:40,2026-03-03 11:42
20,accel,43:03.8,44:26.4
961,qualtrics,2026-03-03 11:44,2026-03-03 11:46
951,qualtrics,2026-03-03 11:44,2026-03-03 11:45
22,accel,46:17.9,47:23.4
981,qualtrics,2026-03-03 11:47,2026-03-03 11:48
971,qualtrics,2026-03-03 11:47,2026-03-03 11:48
24,accel,49:09.9,50:40.9
1001,qualtrics,2026-03-03 11:50,2026-03-03 11:52
991,qualtrics,2026-03-03 11:51,2026-03-03 11:52
26,accel,52:27.1,53:46.5
1011,qualtrics,2026-03-03 11:53,2026-03-03 11:54
1021,qualtrics,2026-03-03 11:53,2026-03-03 11:54
28,accel,55:04.2,55:51.0
1041,qualtrics,2026-03-03 11:56,2026-03-03 11:56
1031,qualtrics,2026-03-03 11:56,2026-03-03 11:56
29,accel,57:10.9,58:43.0
1051,qualtrics,2026-03-03 11:58,2026-03-03 11:59
1061,qualtrics,2026-03-03 11:58,2026-03-03 11:59
30,accel,34:36.4,35:21.6
31,accel,35:51.1,36:37.6
1071,qualtrics,2026-03-03 14:36,2026-03-03 14:37
1081,qualtrics,2026-03-03 14:36,2026-03-03 14:37
32,accel,38:06.6,39:03.2
1101,qualtrics,2026-03-03 14:39,2026-03-03 14:39
1091,qualtrics,2026-03-03 14:39,2026-03-03 14:39
33,accel,40:08.8,41:10.4
1121,qualtrics,2026-03-03 14:41,2026-03-03 14:42
1111,qualtrics,2026-03-03 14:41,2026-03-03 14:41
34,accel,42:08.1,43:19.0
1131,qualtrics,2026-03-03 14:43,2026-03-03 14:43
114,qualtrics,2026-03-03 14:43,2026-03-03 14:44
35,accel,44:19.4,45:26.6
1151,qualtrics,2026-03-03 14:45,2026-03-03 14:46
1161,qualtrics,2026-03-03 14:45,2026-03-03 14:46
36,accel,46:28.1,47:32.1
1171,qualtrics,2026-03-03 14:47,2026-03-03 14:47
1181,qualtrics,2026-03-03 14:47,2026-03-03 14:48
37,accel,48:15.0,49:19.6
1201,qualtrics,2026-03-03 14:49,2026-03-03 14:50
1191,qualtrics,2026-03-03 14:49,2026-03-03 14:49
38,accel,50:12.5,51:13.8
1211,qualtrics,2026-03-03 14:51,2026-03-03 14:51
1221,qualtrics,2026-03-03 14:51,2026-03-03 14:51
39,accel,46:18.6,46:54.8
40,accel,47:08.0,48:07.0
1231,qualtrics,2026-03-03 15:48,2026-03-03 15:48
1241,qualtrics,2026-03-03 15:48,2026-03-03 15:50
41,accel,50:53.5,51:55.4
1251,qualtrics,2026-03-03 15:52,2026-03-03 15:52
1261,qualtrics,2026-03-03 15:52,2026-03-03 15:52
42,accel,52:50.7,53:49.4
1271,qualtrics,2026-03-03 15:53,2026-03-03 15:54
1281,qualtrics,2026-03-03 15:54,2026-03-03 15:54
43,accel,54:38.6,55:26.9
1291,qualtrics,2026-03-03 15:55,2026-03-03 15:55
1301,qualtrics,2026-03-03 15:55,2026-03-03 15:56
44,accel,56:24.5,57:26.5
1311,qualtrics,2026-03-03 15:57,2026-03-03 15:57
1321,qualtrics,2026-03-03 15:57,2026-03-03 15:58
45,accel,58:05.7,59:02.7
1331,qualtrics,2026-03-03 15:59,2026-03-03 15:59
1341,qualtrics,2026-03-03 15:59,2026-03-03 15:59
46,accel,59:42.8,00:40.0
1361,qualtrics,2026-03-03 16:00,2026-03-03 16:01
1351,qualtrics,2026-03-03 16:00,2026-03-03 16:01
47,accel,01:16.7,02:13.4
1371,qualtrics,2026-03-03 16:02,2026-03-03 16:02
1381,qualtrics,2026-03-03 16:02,2026-03-03 16:02
48,accel,34:49.3,35:54.3
49,accel,36:18.0,37:28.2
1391,qualtrics,2026-03-09 11:37,2026-03-09 11:38
1401,qualtrics,2026-03-09 11:37,2026-03-09 11:38
50,accel,38:28.0,39:39.4
1421,qualtrics,2026-03-09 11:39,2026-03-09 11:40
141,qualtrics,2026-03-09 11:39,2026-03-09 11:40
51,accel,40:38.4,42:17.3
1431,qualtrics,2026-03-09 11:42,2026-03-09 11:42
1441,qualtrics,2026-03-09 11:42,2026-03-09 11:42
52,accel,43:02.5,44:42.7
1711,qualtrics,2026-03-09 11:44,2026-03-09 11:44
145,qualtrics,2026-03-09 11:44,2026-03-09 11:45
1461,qualtrics,2026-03-09 11:45,2026-03-09 11:45
53,accel,45:45.4,46:57.0
1471,qualtrics,2026-03-09 11:47,2026-03-09 11:47
148,qualtrics,2026-03-09 11:47,2026-03-09 11:47
55,accel,47:48.0,48:50.6
150,qualtrics,2026-03-09 11:49,2026-03-09 11:49
1491,qualtrics,2026-03-09 11:49,2026-03-09 11:49
56,accel,49:53.7,51:06.9
1511,qualtrics,2026-03-09 11:51,2026-03-09 11:51
152,qualtrics,2026-03-09 11:51,2026-03-09 11:51
57,accel,51:43.5,52:50.6
1531,qualtrics,2026-03-09 11:52,2026-03-09 11:53
1541,qualtrics,2026-03-09 11:53,2026-03-09 11:53
59,accel,39:36.2,40:29.9
60,accel,40:58.5,42:23.3
1561,qualtrics,2026-03-10 11:42,2026-03-10 11:43
1551,qualtrics,2026-03-10 11:42,2026-03-10 11:43
61,accel,43:42.4,45:04.7
1571,qualtrics,2026-03-10 11:45,2026-03-10 11:46
1581,qualtrics,2026-03-10 11:45,2026-03-10 11:46
63,accel,46:58.1,48:45.0
1601,qualtrics,2026-03-10 11:49,2026-03-10 11:49
1591,qualtrics,2026-03-10 11:49,2026-03-10 11:49
64,accel,50:13.1,51:36.6
1611,qualtrics,2026-03-10 11:51,2026-03-10 11:52
1621,qualtrics,2026-03-10 11:51,2026-03-10 11:52
65,accel,52:25.8,53:56.1
1631,qualtrics,2026-03-10 11:54,2026-03-10 11:54
1641,qualtrics,2026-03-10 11:54,2026-03-10 11:54
66,accel,54:51.9,56:10.3
1651,qualtrics,2026-03-10 11:56,2026-03-10 11:56
1661,qualtrics,2026-03-10 11:56,2026-03-10 11:56
68,accel,56:58.0,58:11.4
1671,qualtrics,2026-03-10 11:58,2026-03-10 11:58
1681,qualtrics,2026-03-10 11:58,2026-03-10 11:58
69,accel,58:55.5,00:05.6
1701,qualtrics,2026-03-10 12:00,2026-03-10 12:00
1691,qualtrics,2026-03-10 12:00,2026-03-10 12:00
1721,qualtrics,2026-03-17 14:40,2026-03-17 14:46
1731,qualtrics,2026-03-17 14:45,2026-03-17 14:47
1751,qualtrics,2026-03-17 14:49,2026-03-17 14:51
1741,qualtrics,2026-03-17 14:49,2026-03-17 14:50
1761,qualtrics,2026-03-17 14:53,2026-03-17 14:54
1771,qualtrics,2026-03-17 14:53,2026-03-17 14:54
1791,qualtrics,2026-03-17 14:56,2026-03-17 14:58
1781,qualtrics,2026-03-17 14:56,2026-03-17 14:57
1811,qualtrics,2026-03-17 15:00,2026-03-17 15:01
1801,qualtrics,2026-03-17 15:00,2026-03-17 15:00
182,qualtrics,2026-03-17 15:03,2026-03-17 15:03
1831,qualtrics,2026-03-17 15:03,2026-03-17 15:03
1851,qualtrics,2026-03-17 15:06,2026-03-17 15:07
1841,qualtrics,2026-03-17 15:06,2026-03-17 15:06
1861,qualtrics,2026-03-17 15:09,2026-03-17 15:10
1871,qualtrics,2026-03-17 15:09,2026-03-17 15:10
70,accel,44:27.4,45:21.0
71,accel,46:04.6,47:21.5
1881,qualtrics,2026-03-17 15:47,2026-03-17 15:48
1891,qualtrics,2026-03-17 15:47,2026-03-17 15:48
73,accel,48:48.3,49:56.6
1911,qualtrics,2026-03-17 15:50,2026-03-17 15:51
1901,qualtrics,2026-03-17 15:50,2026-03-17 15:50
75,accel,51:13.4,52:31.8
192,qualtrics,2026-03-17 15:52,2026-03-17 15:53
1931,qualtrics,2026-03-17 15:52,2026-03-17 15:53
77,accel,53:14.1,54:32.5
194,qualtrics,2026-03-17 15:54,2026-03-17 15:55
1951,qualtrics,2026-03-17 15:55,2026-03-17 15:55
78,accel,55:46.9,57:30.3
196,qualtrics,2026-03-17 15:57,2026-03-17 15:58
1971,qualtrics,2026-03-17 15:57,2026-03-17 15:58
80,accel,58:41.8,00:08.7
198,qualtrics,2026-03-17 16:00,2026-03-17 16:00
1991,qualtrics,2026-03-17 16:00,2026-03-17 16:00
82,accel,01:02.2,02:24.4
200,qualtrics,2026-03-17 16:02,2026-03-17 16:02
2011,qualtrics,2026-03-17 16:02,2026-03-17 16:03
83,accel,03:18.5,04:23.1
202,qualtrics,2026-03-17 16:04,2026-03-17 16:04
2031,qualtrics,2026-03-17 16:04,2026-03-17 16:04
84,accel,33:29.0,34:31.2
85,accel,34:53.3,36:47.7
204,qualtrics,2026-03-26 11:37,2026-03-26 11:38
2051,qualtrics,2026-03-26 11:37,2026-03-26 11:39
87,accel,39:59.9,41:27.9
2071,qualtrics,2026-03-26 11:41,2026-03-26 11:42
2061,qualtrics,2026-03-26 11:41,2026-03-26 11:42
88,accel,43:12.4,44:36.4
2081,qualtrics,2026-03-26 11:44,2026-03-26 11:46
2091,qualtrics,2026-03-26 11:44,2026-03-26 11:46
89,accel,46:40.4,47:45.7
2101,qualtrics,2026-03-26 11:47,2026-03-26 11:48
2111,qualtrics,2026-03-26 11:48,2026-03-26 11:48
90,accel,49:02.0,50:08.1
2131,qualtrics,2026-03-26 11:50,2026-03-26 11:51
212,qualtrics,2026-03-26 11:50,2026-03-26 11:51
91,accel,51:49.2,52:44.1
2141,qualtrics,2026-03-26 11:52,2026-03-26 11:53
215,qualtrics,2026-03-26 11:53,2026-03-26 11:54
92,accel,54:35.9,55:39.2
217,qualtrics,2026-03-26 11:55,2026-03-26 11:56
2161,qualtrics,2026-03-26 11:55,2026-03-26 11:56
93,accel,57:16.5,58:12.9
218,qualtrics,2026-03-26 11:58,2026-03-26 11:58
219,qualtrics,2026-03-26 11:58,2026-03-26 11:59
94,accel,41:25.4,42:10.3
95,accel,42:30.1,43:46.4
220,qualtrics,2026-03-26 12:44,2026-03-26 12:44
221,qualtrics,2026-03-26 12:44,2026-03-26 12:44
96,accel,45:09.8,46:21.3
222,qualtrics,2026-03-26 12:46,2026-03-26 12:47
223,qualtrics,2026-03-26 12:46,2026-03-26 12:47
97,accel,47:26.0,48:40.9
224,qualtrics,2026-03-26 12:48,2026-03-26 12:49
225,qualtrics,2026-03-26 12:48,2026-03-26 12:49
98,accel,49:31.0,50:27.7
226,qualtrics,2026-03-26 12:50,2026-03-26 12:51
227,qualtrics,2026-03-26 12:50,2026-03-26 12:51
99,accel,51:25.0,52:33.0
229,qualtrics,2026-03-26 12:52,2026-03-26 12:53
228,qualtrics,2026-03-26 12:52,2026-03-26 12:53
100,accel,53:27.9,54:35.0
230,qualtrics,2026-03-26 12:54,2026-03-26 12:55
231,qualtrics,2026-03-26 12:54,2026-03-26 12:55
101,accel,55:25.7,56:33.3
232,qualtrics,2026-03-26 12:56,2026-03-26 12:57
233,qualtrics,2026-03-26 12:56,2026-03-26 12:57
102,accel,57:29.2,58:34.0
103,accel,43:50.3,44:31.0
104,accel,45:02.0,46:42.5
234,qualtrics,2026-03-27 10:46,2026-03-27 10:47
235,qualtrics,2026-03-27 10:47,2026-03-27 10:47
105,accel,48:23.6,49:50.1
236,qualtrics,2026-03-27 10:50,2026-03-27 10:50
237,qualtrics,2026-03-27 10:50,2026-03-27 10:50
106,accel,50:55.7,52:08.8
239,qualtrics,2026-03-27 10:52,2026-03-27 10:53
238,qualtrics,2026-03-27 10:52,2026-03-27 10:52
107,accel,53:23.6,54:34.3
241,qualtrics,2026-03-27 10:54,2026-03-27 10:55
240,qualtrics,2026-03-27 10:54,2026-03-27 10:55
108,accel,55:41.4,56:50.8
242,qualtrics,2026-03-27 10:57,2026-03-27 10:57
243,qualtrics,2026-03-27 10:57,2026-03-27 10:57
109,accel,57:48.4,58:57.4
244,qualtrics,2026-03-27 10:59,2026-03-27 10:59
245,qualtrics,2026-03-27 10:59,2026-03-27 10:59
110,accel,59:50.8,00:57.7
247,qualtrics,2026-03-27 11:01,2026-03-27 11:02
246,qualtrics,2026-03-27 11:01,2026-03-27 11:01
111,accel,02:15.6,03:26.8
249,qualtrics,2026-03-27 11:03,2026-03-27 11:04
248,qualtrics,2026-03-27 11:03,2026-03-27 11:04
112,accel,35:39.8,36:43.0
113,accel,37:10.2,38:41.6
250,qualtrics,2026-03-27 11:38,2026-03-27 11:40
330,qualtrics,2026-03-27 11:38,2026-03-27 11:38
251,qualtrics,2026-03-27 11:39,2026-03-27 11:40
115,accel,40:37.2,42:04.1
253,qualtrics,2026-03-27 11:42,2026-03-27 11:43
252,qualtrics,2026-03-27 11:42,2026-03-27 11:42
116,accel,43:13.3,44:40.6
254,qualtrics,2026-03-27 11:44,2026-03-27 11:45
255,qualtrics,2026-03-27 11:44,2026-03-27 11:45
117,accel,45:26.0,47:00.7
256,qualtrics,2026-03-27 11:47,2026-03-27 11:47
331,qualtrics,2026-03-27 11:47,2026-03-27 11:47
257,qualtrics,2026-03-27 11:47,2026-03-27 11:47
118,accel,47:59.0,49:14.6
259,qualtrics,2026-03-27 11:49,2026-03-27 11:50
258,qualtrics,2026-03-27 11:49,2026-03-27 11:49
119,accel,50:22.5,51:42.1
261,qualtrics,2026-03-27 11:51,2026-03-27 11:52
260,qualtrics,2026-03-27 11:52,2026-03-27 11:52
120,accel,52:51.0,54:25.2
262,qualtrics,2026-03-27 11:54,2026-03-27 11:55
263,qualtrics,2026-03-27 11:54,2026-03-27 11:55
121,accel,55:37.7,57:07.0
264,qualtrics,2026-03-27 11:57,2026-03-27 11:58
265,qualtrics,2026-03-27 11:57,2026-03-27 11:58
122,accel,40:38.8,41:40.7
123,accel,41:54.9,43:07.1
266,qualtrics,2026-03-31 11:43,2026-03-31 11:44
267,qualtrics,2026-03-31 11:43,2026-03-31 11:44
124,accel,44:36.7,46:09.0
269,qualtrics,2026-03-31 11:46,2026-03-31 11:46
268,qualtrics,2026-03-31 11:46,2026-03-31 11:46
125,accel,47:11.2,48:21.7
271,qualtrics,2026-03-31 11:48,2026-03-31 11:49
270,qualtrics,2026-03-31 11:48,2026-03-31 11:48
126,accel,49:11.5,50:25.5
272,qualtrics,2026-03-31 11:50,2026-03-31 11:50
273,qualtrics,2026-03-31 11:50,2026-03-31 11:51
127,accel,51:20.4,52:33.4
274,qualtrics,2026-03-31 11:52,2026-03-31 11:53
275,qualtrics,2026-03-31 11:52,2026-03-31 11:53
128,accel,53:17.1,54:59.5
276,qualtrics,2026-03-31 11:55,2026-03-31 11:55
277,qualtrics,2026-03-31 11:55,2026-03-31 11:55
129,accel,55:45.3,57:29.4
278,qualtrics,2026-03-31 11:57,2026-03-31 11:57
279,qualtrics,2026-03-31 11:57,2026-03-31 11:58
130,accel,58:15.1,59:45.1
280,qualtrics,2026-03-31 11:59,2026-03-31 12:00
281,qualtrics,2026-03-31 11:59,2026-03-31 12:00
131,accel,34:12.9,35:11.6
132,accel,36:23.2,37:43.0
282,qualtrics,2026-03-31 14:37,2026-03-31 14:38
283,qualtrics,2026-03-31 14:38,2026-03-31 14:38
133,accel,38:49.5,40:43.5
285,qualtrics,2026-03-31 14:40,2026-03-31 14:41
284,qualtrics,2026-03-31 14:40,2026-03-31 14:41
134,accel,41:53.3,43:03.8
286,qualtrics,2026-03-31 14:43,2026-03-31 14:43
287,qualtrics,2026-03-31 14:43,2026-03-31 14:43
135,accel,43:41.8,44:51.0
288,qualtrics,2026-03-31 14:44,2026-03-31 14:45
289,qualtrics,2026-03-31 14:44,2026-03-31 14:45
136,accel,45:26.6,46:34.5
291,qualtrics,2026-03-31 14:46,2026-03-31 14:47
290,qualtrics,2026-03-31 14:46,2026-03-31 14:46
137,accel,47:05.1,48:07.5
380,qualtrics,2026-03-31 14:48,2026-03-31 14:48
292,qualtrics,2026-03-31 14:48,2026-03-31 14:48
381,qualtrics,2026-03-31 14:48,2026-03-31 14:48
293,qualtrics,2026-03-31 14:48,2026-03-31 14:49
138,accel,49:07.1,50:04.5
294,qualtrics,2026-03-31 14:50,2026-03-31 14:50
295,qualtrics,2026-03-31 14:50,2026-03-31 14:50
139,accel,50:31.2,51:26.6
297,qualtrics,2026-03-31 14:51,2026-03-31 14:51
296,qualtrics,2026-03-31 14:51,2026-03-31 14:51
140,accel,35:15.9,35:55.7
142,accel,36:29.2,37:53.5
299,qualtrics,2026-03-31 15:38,2026-03-31 15:39
298,qualtrics,2026-03-31 15:38,2026-03-31 15:39
143,accel,39:47.3,40:52.6
300,qualtrics,2026-03-31 15:41,2026-03-31 15:42
301,qualtrics,2026-03-31 15:41,2026-03-31 15:42
144,accel,42:28.0,43:22.1
303,qualtrics,2026-03-31 15:43,2026-03-31 15:44
302,qualtrics,2026-03-31 15:43,2026-03-31 15:44
146,accel,44:54.7,45:47.4
304,qualtrics,2026-03-31 15:46,2026-03-31 15:46
305,qualtrics,2026-03-31 15:46,2026-03-31 15:46
147,accel,46:47.9,47:41.5
307,qualtrics,2026-03-31 15:47,2026-03-31 15:48
306,qualtrics,2026-03-31 15:47,2026-03-31 15:48
149,accel,48:34.7,49:26.9
309,qualtrics,2026-03-31 15:49,2026-03-31 15:50
308,qualtrics,2026-03-31 15:49,2026-03-31 15:50
151,accel,50:31.9,51:28.8
311,qualtrics,2026-03-31 15:51,2026-03-31 15:52
310,qualtrics,2026-03-31 15:51,2026-03-31 15:52
153,accel,53:02.3,53:58.1
312,qualtrics,2026-03-31 15:54,2026-03-31 15:54
313,qualtrics,2026-03-31 15:54,2026-03-31 15:54
154,accel,37:11.5,37:49.3
155,accel,38:01.3,38:59.9
314,qualtrics,2026-03-31 16:39,2026-03-31 16:39
315,qualtrics,2026-03-31 16:39,2026-03-31 16:40
156,accel,40:40.8,41:38.7
316,qualtrics,2026-03-31 16:41,2026-03-31 16:42
317,qualtrics,2026-03-31 16:42,2026-03-31 16:42
157,accel,43:00.9,43:58.9
318,qualtrics,2026-03-31 16:44,2026-03-31 16:44
